venueid,venuetype
v0001,shopping
v0002,park-neighborhood
v0003,restaurant-coffeeshop
v0004,arts-theatre
v0005,restaurant-coffeeshop
v0006,restaurant-coffeeshop
v0007,bar-club
v0008,sports-gamingvenue
v0009,park-neighborhood
v0010,restaurant-coffeeshop
v0011,school-college-university
v0012,shopping
v0013,restaurant-coffeeshop
v0014,restaurant-coffeeshop
v0015,shopping
v0016,restaurant-coffeeshop
v0017,shopping
v0018,restaurant-coffeeshop
v0019,restaurant-coffeeshop
v0020,bar-club
v0021,restaurant-coffeeshop
v0022,museum-library-attraction-casino
v0023,restaurant-coffeeshop
v0024,restaurant-coffeeshop
v0025,shopping
v0026,shopping
v0027,park-neighborhood
v0028,museum-library-attraction-casino
v0029,restaurant-coffeeshop
v0030,arts-theatre
v0031,arts-theatre
v0032,restaurant-coffeeshop
v0033,restaurant-coffeeshop
v0034,restaurant-coffeeshop
v0035,restaurant-coffeeshop
v0036,communityorganization
v0037,shopping
v0038,park-neighborhood
v0039,restaurant-coffeeshop
v0040,bar-club
v0041,restaurant-coffeeshop
v0042,bar-club
v0043,sports-gamingvenue
v0044,school-college-university
v0045,school-college-university
v0046,arts-theatre
v0047,bar-club
v0048,restaurant-coffeeshop
v0049,arts-theatre
v0050,restaurant-coffeeshop
v0051,bar-club
v0052,restaurant-coffeeshop
v0053,restaurant-coffeeshop
v0054,restaurant-coffeeshop
v0055,shopping
v0056,restaurant-coffeeshop
v0057,shopping
v0058,restaurant-coffeeshop
v0059,park-neighborhood
v0060,restaurant-coffeeshop
v0061,sports-gamingvenue
v0062,sports-gamingvenue
v0063,bar-club
v0064,restaurant-coffeeshop
v0065,arts-theatre
v0066,arts-theatre
v0067,shopping
v0068,park-neighborhood
v0069,restaurant-coffeeshop
v0070,restaurant-coffeeshop
v0071,park-neighborhood
v0072,restaurant-coffeeshop
v0073,shopping
v0074,park-neighborhood
v0075,somethingelse
v0076,restaurant-coffeeshop
v0077,restaurant-coffeeshop
v0078,somethingelse
v0079,restaurant-coffeeshop
v0080,restaurant-coffeeshop
v0081,shopping
v0082,restaurant-coffeeshop
v0083,restaurant-coffeeshop
v0084,shopping
v0085,sports-gamingvenue
v0086,park-neighborhood
v0087,park-neighborhood
v0088,restaurant-coffeeshop
v0089,restaurant-coffeeshop
v0090,restaurant-coffeeshop
v0091,restaurant-coffeeshop
v0092,park-neighborhood
v0093,school-college-university
v0094,bar-club
v0095,restaurant-coffeeshop
v0096,bar-club
v0097,school-college-university
