,mean_main,lower_main,upper_main,mean_casual,lower_casual,upper_casual,mean_one-time,lower_one-time,upper_one-time
edges,1401.121949441,1172.186554924,1630.057343958,1988.906581324,1591.149931705,2386.663236794,77.940333470307,60.6132855832735,95.267381582604
concurrent,28.290614776,6.741955174,118.018285918,735.5733031359999,508.017615376,1055.447180586,,,
nodefactor.race_ethnicity.blackNH,751.4168051639999,594.6024474879999,908.231165827,999.9926392,763.614028496,1236.371246917,27.7557796471725,19.403859885025,36.10769940932
nodefactor.race_ethnicity.hispanic,901.304369777,667.675570238,1134.933172909,1105.121300972,761.213871064,1449.028734473,45.618994715910006,27.534521826696498,63.703467743454
nodefactor.race_ethnicity.otherNH,178.482142932,0.0,375.455676612,614.696429037,143.772278338,1085.6205784469998,15.26868748559,2.7085422130690002,27.828832807737502
nodefactor.race_ethnicity.whiteNH,974.132940088,675.645071812,1272.620812197,1254.535012512,770.8061732140001,1738.26385181,67.051657078406,41.73970203172,92.36361212509199
nodefactor.age.16to20,733.152338793,506.050998558,960.253679028,1591.767196467,1121.549284149,2061.9851087849997,74.58642587780999,55.545292695354,93.6275592211575
nodefactor.age.21to29,1982.1543300429998,1607.723734262,2356.584925824,2441.6744718249997,1814.067625077,3069.281326096,87.440902998526,59.643987414395994,115.2378188722915
nodematch.race_ethnicity,793.287714003004,460.58142816933645,1200.9551325219554,945.0331422977168,520.5971746487071,1486.0040471500902,40.50823407279643,18.962243129684154,73.2994846830887
nodematch.race_ethnicity.blackNH,312.8725766481693,216.55223402469045,409.7888826816045,373.8440756882721,248.89663803184402,509.5327532577742,9.697520532449795,5.493204578449884,14.52979556328318
nodematch.race_ethnicity.hispanic,205.38796714301265,109.8516370230956,333.9286477363356,207.1105879612529,99.04735548296746,366.1613669438336,9.91102479059041,4.378590764953787,17.79530214769532
nodematch.race_ethnicity.otherNH,5.131361609295e-09,0.0,2.2151884920108e-08,2.388095626808745e-09,2.3794312064939e-10,9.879147263867698e-09,2.672999994773388,0.10269038155447575,10.848054133293495
nodematch.race_ethnicity.whiteNH,275.0271702066907,134.17755712155036,457.23760208186343,364.0784786458038,172.6531811336577,610.3099269386031,18.226688754982835,8.987757404726006,30.126332838816722
nodematch.age,979.2628343195934,649.7071524726215,1345.8161515804386,1383.7532215902193,878.2011496847141,1959.6447744362445,56.198897930181275,32.46456614932748,82.6811758165764
nodematch.age.21to29,763.279194594196,538.92112278475,997.5557149844226,1036.8609882313624,694.8788677325842,1391.1833301460917,38.6196421226992,22.912604217898895,54.46798641561392
nodematch.age.16to20,215.98363972539732,110.78602968787152,348.260436596016,346.89223335885686,183.32228195212986,568.4614442901527,17.579255807482074,9.55196193142859,28.213189400962484
nodefactor.init_cas_cat.0,2617.596715581,2188.986194187,3046.207228116,,,,,,
nodefactor.init_cas_cat.1,159.52951432,60.127907136,258.931123528,,,,,,
nodefactor.init_cas_cat.2+,10.592423478,0.0,31.735652949000002,,,,,,
fuzzynodematch.venues_all.TRUE,211.56928826461552,115.51541685188701,365.8193290264838,287.6088593303606,151.5988639177557,509.4380507668059,12.951810672432398,6.010158762024665,25.261269619591076
fuzzynodematch.venues_dating.TRUE,35.47810312128605,12.587242826057269,95.4178386790615,135.30767158177056,58.77562098384525,377.29195368723606,10.083823854255483,3.6373296227102587,26.224762475606543
fuzzynodematch.venues_nondating.TRUE,176.0911851472106,90.20935560928662,323.740062125547,152.30118575968345,61.47435447151079,348.716873899137,2.8679868181769153,1.0453086592179097,7.314936509415794
fuzzynodematch.apps_all.TRUE,784.6230753099422,507.83825778389894,1154.4489174993607,1082.1268226559334,706.3744053485975,1564.3891590170417,51.091718784696795,32.68261345692965,73.45430474105284
fuzzynodematch.apps_dating.TRUE,583.5597469004788,393.5256602381758,818.3169149364434,935.5973761724283,626.6385376737035,1308.8637851391086,49.84093075435863,32.26174462357591,69.96275330070277
fuzzynodematch.apps_nondating.TRUE,201.06332840946348,114.31259754572318,336.13200256291736,146.52944648350498,79.735867674894,255.5253738779332,1.250788030338156,0.42086883335374425,3.4915514403500683
nodefactor.init_ser_cat.0,,,,3797.0158682879996,3029.85348768,4564.178248896001,,,
nodefactor.init_ser_cat.1+,,,,180.78047594799997,70.75982169800001,290.801130198,,,
nodefactor.init_pers_cat.0,,,,,,,78.21240958862099,57.154895934597995,99.26992300094099
nodefactor.init_pers_cat.1,,,,,,,47.861493074626004,26.747722572801997,68.975263406588
nodefactor.init_pers_cat.2,,,,,,,18.3339584597785,3.8587968687345002,32.8091200508225
nodefactor.init_pers_cat.3+,,,,,,,13.612976756032499,1.8566972857125001,25.3692562263525
