"","ind","All partners","All partners, lower bound","All partners, upper bound","Main partners","Main partners, lower bound","Main partners, upper bound","Casual partners","Casual partners, lower bound","Casual partners, upper bound","One-time partners","One-time partners, lower bound","One-time partners, upper bound","All partners, modeled pop","All partners, modeled pop, lower bound","All partners, modeled pop, upper bound","Main partners, modeled pop","Main partners, modeled pop, lower bound","Main partners, modeled pop, upper bound","Casual partners, modeled pop","Casual partners, modeled pop, lower bound","Casual partners, modeled pop, upper bound","One-time partners, modeled pop","One-time partners, modeled pop, lower bound","One-time partners, modeled pop, upper bound"
"1","Mean degree",0.829743929689236,0.71608352142985,0.943404337948622,0.299748571434401,0.259181686453291,0.340315456415511,0.529995358254836,0.414860391119198,0.645130325390475,0.57376182493124,0.4632180299354,0.684305619927079,0.590735050211204,0.520735982987077,0.660734117435331,0.236413862306602,0.199660086521974,0.273167638091229,0.354321187904602,0.286556551175886,0.422085824633317,0.361256637290151,0.287481474637034,0.435031799943269
"2","Mean degree BlackNH",0.741762132888078,0.638364904873052,0.845159360903105,0.305731987537018,0.249396125591911,0.362067849482125,0.436030145351062,0.333973964795352,0.538086325906772,0.340971752105233,0.237782561311436,0.44416094289903,0.579924458330907,0.493031088512685,0.666817828149129,0.244386714240079,0.192638158276616,0.296135270203542,0.335537744090828,0.253983216804886,0.417092271376771,0.249451031633663,0.174153119453299,0.324748943814027
"3","Mean degree WhiteNH",0.898524232829565,0.639277767708911,1.15777069795022,0.319253883454652,0.244946983928575,0.393560782980729,0.579270349374913,0.316461877358226,0.8420788213916,0.792083301598357,0.558554699345433,1.02561190385128,0.616543534950187,0.483173058276916,0.749914011623457,0.252465354470643,0.183394442287929,0.321536266653357,0.364078180479544,0.236399285481761,0.491757075477326,0.490310857714865,0.329046496277438,0.651575219152293
"4","Mean degree Latinx",0.785713134232267,0.64075921339873,0.930667055065804,0.316678231425647,0.243742630342145,0.389613832509149,0.469034902806621,0.332153521133839,0.605916284479403,0.495729995148173,0.320886749563266,0.670573240733081,0.556014313144319,0.451223431376706,0.660805194911932,0.249017717742339,0.184277492914915,0.313757942569762,0.30699659540198,0.211481289658666,0.402511901145295,0.333120874583525,0.202355985498274,0.463885763668775
"5","Mean degree OtherNH",0.95140197273634,0.442570208666433,1.46023373680625,0.182422697550704,0.0170213871844534,0.347824007916954,0.768979275185637,0.237185569205823,1.30077298116545,0.683752632162252,0.20909006953881,1.15841519478569,0.635154604898592,0.280970229904041,0.989338979893144,0.136484539510141,0,0.283383520150404,0.498670065388452,0.139882590635678,0.857457540141226,0.317577302449296,0.0796750363183761,0.555479568580216
"6","Mean degree age 16-20",0.746237267414551,0.602589802359084,0.889884732470018,0.214645332104506,0.157312739935624,0.271977924273387,0.531591935310045,0.385604428907927,0.677579441712163,0.583651206072916,0.442359948335254,0.724942463810578,0.589340041368873,0.463240589547272,0.715439493190474,0.184250009172583,0.129514521026188,0.238985497318978,0.40509003219629,0.282994621289515,0.527185443103065,0.481648916359233,0.357925694354285,0.60537213836418
"7","Mean degree age 21-29",0.876986622285805,0.718350144300937,1.03562310027067,0.347894504526647,0.293780587947039,0.402008421106255,0.529092117759157,0.368731093689425,0.68945314182889,0.568167049849593,0.414482199739447,0.721851899959739,0.591524256390843,0.508193933213847,0.67485457956784,0.265924811626507,0.21751883549932,0.314330787753694,0.325599444764336,0.245240671200777,0.405958218327894,0.293146437742833,0.201636615668519,0.384656259817148
"8","Prop concurrent",0.126817988523457,0.0996894848531097,0.160016846509496,0.00675616228829199,0.0026981919970893,0.0168142583452339,0.0965809822603152,0.0722847109949015,0.127917667574397,NA,NA,NA,0.0864394011458319,0.0639468444144239,0.115864171717593,0.00242253079626572,0.000569587134092081,0.0102415796074253,0.0695206696877906,0.0489467230422828,0.097852760762666,NA,NA,NA
"9","Prop same race",0.508228960322812,0.45375418584395,0.562509024737033,0.57874105561148,0.504546489677483,0.649542406055522,0.485729737070286,0.409111135352564,0.56302498692919,0.501475237536635,0.432125279642487,0.570768481099663,0.513871115821069,0.458260045725512,0.569140848125649,0.56450845510732,0.482338713880524,0.643281280395424,0.485790196933528,0.405345160958779,0.566978287174784,0.523648911638642,0.456526920771305,0.589927352371039
"10","Prop same race | BlackNH",0.732112801762419,0.6573929973275,0.795603505073632,0.837068738938807,0.746755364874911,0.899508368480012,0.699655114642868,0.604699283901367,0.780096304208346,0.695331341260667,0.552374030626564,0.80846392816706,0.755879019162432,0.684708717920197,0.815317311055919,0.8307151869757,0.724758354613951,0.90143040267414,0.739956292598817,0.636616066535198,0.822119821996779,0.704655772408987,0.576460811760088,0.807037523845123
