egoid,apps_all,apps_dating,apps_nondating
1,a05|a17|a36,a05|a17|a36,s00001
2,a05|a14,a05|a14,s00002
3,a05|a14|a60,a05|a14|a60,s00003
4,a05|a14,a05|a14,s00004
5,a05,a05,s00005
6,a14,a14,s00006
7,a05|a14,a05|a14,s00007
8,a07|a08|a14,a14,a07|a08
9,a14,a14,s00009
10,s00010,s00010,s00010
11,a05|a14,a05|a14,s00011
12,a05,a05,s00012
13,a05|a14,a05|a14,s00013
14,a05|a14|a16|a17,a05|a14|a16|a17,s00014
15,a05|a17|a36,a05|a17|a36,s00015
16,s00016,s00016,s00016
17,a05|a17,a05|a17,s00017
18,a14,a14,s00018
19,a05|a14,a05|a14,s00019
20,a05|a07|a10|a14,a05|a14,a07|a10
21,a05|a36,a05|a36,s00021
22,s00022,s00022,s00022
23,a05,a05,s00023
24,a05,a05,s00024
25,a05|a14|a16,a05|a14|a16,s00025
26,a05,a05,s00026
27,a05,a05,s00027
28,a01|a05|a17,a01|a05|a17,s00028
29,a05,a05,s00029
30,a05|a14|a17,a05|a14|a17,s00030
31,a05|a14,a05|a14,s00031
32,a05|a14,a05|a14,s00032
33,a05|a19|a34,a05|a19|a34,s00033
34,a14,a14,s00034
35,s00035,s00035,s00035
36,s00036,s00036,s00036
37,a14|a16,a14|a16,s00037
38,a05|a14,a05|a14,s00038
39,s00039,s00039,s00039
40,a05|a14,a05|a14,s00040
41,a05,a05,s00041
42,a05|a14|a16|a17,a05|a14|a16|a17,s00042
43,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00043
44,a05,a05,s00044
45,a05|a17|a36,a05|a17|a36,s00045
46,a05|a14|a60,a05|a14|a60,s00046
47,a05,a05,s00047
48,s00048,s00048,s00048
49,a05|a14|a16,a05|a14|a16,s00049
50,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00050
51,a05|a14,a05|a14,s00051
52,a05|a14,a05|a14,s00052
53,a14,a14,s00053
54,a05,a05,s00054
55,a05|a14|a34,a05|a14|a34,s00055
56,s00056,s00056,s00056
57,a05|a17,a05|a17,s00057
58,a05,a05,s00058
59,a05|a14|a41,a05|a14|a41,s00059
60,a05|a14,a05|a14,s00060
61,a05|a14,a05|a14,s00061
62,s00062,s00062,s00062
63,s00063,s00063,s00063
64,a05,a05,s00064
65,a05|a14,a05|a14,s00065
66,s00066,s00066,s00066
67,a05|a14|a16|a17,a05|a14|a16|a17,s00067
68,a05|a14,a05|a14,s00068
69,a17,a17,s00069
70,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00070
71,a05|a14|a16,a05|a14|a16,s00071
72,s00072,s00072,s00072
73,a05|a14|a18,a05|a14|a18,s00073
74,a05|a14,a05|a14,s00074
75,a05,a05,s00075
76,a05,a05,s00076
