egoid,apps_all
1,s00001
2,a05|a14|a41
3,a05|a14|a41
4,a05|a14
5,a05|a14|a18
6,s00006
7,s00007
8,a05|a14
9,a05
10,a05
11,s00011
12,a05|a14
13,a05|a14|a41
14,s00014
15,s00015
16,a05|a14
17,s00017
18,s00018
19,a05|a14
20,s00020
21,a05
22,a05
23,a05|a14
24,a05|a14
25,a05
26,a05|a14|a16|a17
27,a05|a14|a17
28,a05|a14|a21|a23
29,a05|a14
30,a14|a41
31,s00031
32,a05|a14|a17|a21|a36
33,a05|a14|a16|a17
34,s00034
35,a05|a14
36,s00036
37,a05|a14
38,a05|a14
39,a05|a14|a16
40,a05
41,s00041
42,s00042
43,a05
44,a05|a17
45,a05
46,a05
47,a05|a14
48,a14
49,s00049
50,a05|a17
51,a05|a14|a41
52,a12
53,s00053
54,a07|a08|a14
55,a05|a14|a17
56,a05
57,s00057
58,a05
59,a05|a14
60,a05|a14|a60
61,a05
62,s00062
63,s00063
64,s00064
65,a14
66,a05|a14
67,a05|a14|a16|a41
68,a05|a14|a17
69,s00069
70,a05|a14
71,a01|a05|a17
72,a05|a07|a10|a14
73,s00073
74,s00074
75,s00075
76,a05|a14|a16
77,a05|a14
78,a05
79,a05
80,a05|a14|a41
81,s00081
82,a05|a14
83,a05
84,s00084
85,a05|a07|a10|a14
86,a05|a14|a60
87,a05
88,s00088
89,a05
90,a05|a14|a16
91,a05|a14
92,s00092
93,a05|a14|a17|a21|a36
94,s00094
95,a05
96,a05|a14|a17|a22|a34|a50
97,s00097
98,a05|a17
99,s00099
100,s00100
101,a05|a14
102,a05|a14
103,a05|a14
104,a05|a14|a34
105,a05|a17
106,a05|a14|a16|a17
107,a05|a14
108,a05|a14|a17|a22|a34|a50
109,s00109
110,a07|a08|a14
111,a05|a10|a14|a17
112,s00112
113,a05|a14|a41
114,a05|a36
115,a05|a14
116,s00116
117,a05|a17|a36
118,a05|a14
119,a05|a14|a60
120,a14|a16
121,a05|a17
122,a05|a14
123,s00123
124,a05|a14|a17|a22|a34|a50
125,s00125
126,a07
127,a05
128,a05
129,a07|a08|a14
130,a05
131,a05
132,a05|a14
133,a05|a14|a16|a41
134,a05|a14
135,s00135
136,s00136
137,a05|a19|a34
138,a05|a14|a17|a22|a34|a50
139,a05|a14
140,a05|a07|a10|a14
141,a05|a14
142,a05
143,s00143
144,a05
145,a05|a19|a34
146,a05
147,a05|a14
148,a05|a19|a34
149,a05|a14
150,a07|a08|a14
151,a05|a07|a10|a14
152,a05|a14|a34
153,a05
154,a14
155,a05|a14|a16|a17
156,a05|a14
157,s00157
158,s00158
159,a05|a14
160,a05|a14
161,a05|a14
162,s00162
163,a05|a14
164,a05|a14|a34
165,s00165
166,a05|a14
167,a05|a14
168,s00168
169,a05|a14|a16|a17
170,s00170
171,a05|a14|a17|a21|a36
172,s00172
173,a05|a14|a17
174,a05|a14
175,a05|a14
176,a05
177,s00177
178,a05|a17|a36
179,a05
180,a05|a14|a60
181,s00181
182,a05|a14
183,s00183
184,s00184
185,a05
186,s00186
187,a05
188,s00188
189,a05
190,a05|a14
191,s00191
192,a05
193,a05
194,a05|a14|a17
195,s00195
196,a05
197,a07|a08|a14
198,a05
199,s00199
200,a05|a14|a16|a17
201,a05
202,a05|a36
203,a05
204,a14
205,a05|a14
206,a05
207,s00207
208,s00208
209,a05
210,a05|a17
211,s00211
212,a05
213,a05|a14|a34
214,s00214
215,a05|a14
216,a05
217,a05|a14
218,a05
