egoid,init_ser_cat,init_cas_cat,init_pers_cat
1,0,2+,3+
2,0,0,0
3,0,1,1
4,0,0,0
5,1+,1,2
6,0,2+,2
7,0,0,0
8,1+,0,1
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,2+,3+
16,1+,0,1
17,0,0,0
18,0,2+,2
19,0,0,0
20,1+,2+,3+
21,0,0,0
22,0,2+,2
23,1+,1,2
24,1+,0,1
25,0,1,1
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,1,1
31,0,2+,2
32,0,0,0
33,0,0,0
34,0,0,0
35,1+,0,1
36,1+,0,1
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,1+,1,2
42,0,0,0
43,0,0,0
44,0,0,0
45,0,2+,3+
46,0,1,1
47,1+,1,2
48,0,2+,2
49,0,1,1
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,2+,3+
55,0,2+,3+
56,1+,0,1
57,0,0,0
58,0,0,0
59,1+,0,1
60,0,0,0
61,0,0,0
62,0,0,0
63,1+,0,1
64,0,1,1
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,1,1
72,1+,0,1
73,0,0,0
74,0,0,0
75,1+,0,1
76,0,1,1
77,0,0,0
78,0,0,0
79,0,1,1
80,0,0,0
81,0,0,0
82,0,1,1
83,0,0,0
84,0,2+,2
85,1+,0,1
86,0,2+,2
87,0,0,0
88,0,1,1
89,1+,0,1
90,1+,0,1
91,0,0,0
92,0,2+,3+
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1+,0,1
99,0,0,0
100,0,0,0
101,1+,0,1
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,1,1
108,0,0,0
109,1+,0,1
110,0,0,0
111,0,0,0
112,0,0,0
113,1+,0,1
114,0,2+,3+
115,0,0,0
116,0,1,1
117,0,1,1
118,0,0,0
119,0,1,1
120,0,0,0
121,0,0,0
122,0,2+,2
123,1+,0,1
124,1+,1,2
125,0,0,0
126,0,0,0
127,0,0,0
128,1+,0,1
129,1+,1,2
130,1+,0,1
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,1+,0,1
138,0,0,0
139,1+,0,1
140,1+,0,1
141,0,0,0
142,0,0,0
143,1+,0,1
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,1+,0,1
151,0,0,0
152,0,0,0
153,0,1,1
154,0,2+,3+
155,0,1,1
156,0,1,1
157,0,0,0
158,0,0,0
159,1+,0,1
160,0,0,0
161,1+,0,1
162,0,2+,3+
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,2+,3+
169,0,1,1
170,0,1,1
171,0,0,0
172,1+,0,1
173,0,0,0
174,0,2+,2
175,0,0,0
176,1+,0,1
177,0,1,1
178,0,0,0
179,1+,0,1
180,1+,1,2
181,1+,0,1
182,0,0,0
183,1+,0,1
184,1+,0,1
185,0,0,0
186,0,0,0
187,1+,0,1
188,1+,1,2
189,0,2+,3+
190,0,0,0
191,1+,1,2
192,1+,0,1
193,0,0,0
194,1+,0,1
195,0,1,1
196,0,0,0
197,0,1,1
198,1+,0,1
199,0,1,1
200,0,1,1
201,1+,0,1
202,1+,0,1
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,1,1
208,0,0,0
209,0,0,0
210,0,0,0
211,1+,0,1
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,1+,0,1
217,0,0,0
218,0,0,0
219,1+,0,1
220,0,1,1
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,1,1
226,0,0,0
227,0,1,1
228,1+,0,1
229,0,2+,3+
230,0,0,0
231,0,0,0
232,0,0,0
233,0,1,1
234,0,0,0
235,0,0,0
236,0,1,1
237,1+,0,1
238,1+,2+,3+
239,0,2+,3+
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,1+,0,1
248,1+,0,1
249,1+,0,1
250,0,1,1
251,0,0,0
252,0,1,1
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,1,1
258,0,0,0
259,1+,2+,3+
260,0,1,1
261,0,2+,3+
262,0,2+,3+
263,1+,0,1
264,0,0,0
265,0,0,0
266,0,0,0
267,0,2+,3+
268,0,0,0
269,0,0,0
270,1+,0,1
271,0,0,0
272,0,2+,2
273,0,0,0
274,1+,0,1
275,0,0,0
276,0,0,0
277,1+,0,1
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,1+,0,1
288,0,0,0
289,0,0,0
290,1+,0,1
291,1+,0,1
292,0,0,0
293,0,1,1
294,1+,1,2
295,0,1,1
296,0,2+,3+
297,0,0,0
298,0,0,0
299,1+,0,1
300,1+,0,1
301,0,0,0
302,0,0,0
303,1+,0,1
304,0,0,0
305,1+,0,1
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,1,1
312,0,2+,3+
313,0,0,0
314,0,0,0
315,0,1,1
316,1+,0,1
317,0,1,1
318,0,2+,3+
319,0,0,0
320,1+,1,2
321,0,2+,3+
322,0,2+,3+
323,0,0,0
324,0,0,0
325,0,2+,2
326,0,2+,3+
327,0,0,0
328,1+,0,1
329,0,2+,3+
330,1+,0,1
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,1+,1,2
343,1+,0,1
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,1+,0,1
350,1+,0,1
351,0,0,0
352,0,0,0
353,0,2+,3+
354,1+,0,1
355,0,1,1
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,2+,3+
361,0,0,0
362,0,1,1
363,0,0,0
364,0,0,0
365,1+,0,1
366,1+,0,1
367,0,0,0
368,0,2+,3+
369,1+,0,1
370,0,0,0
371,0,0,0
372,1+,1,2
373,0,2+,3+
374,0,1,1
375,0,2+,2
376,1+,0,1
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,1+,0,1
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,1+,1,2
388,0,0,0
389,0,0,0
390,1+,0,1
391,0,1,1
392,0,0,0
393,0,0,0
394,1+,0,1
395,0,0,0
396,0,0,0
397,0,2+,3+
398,0,2+,2
399,0,0,0
400,1+,0,1
401,0,0,0
402,0,1,1
403,1+,0,1
404,0,1,1
405,0,0,0
406,1+,2+,3+
407,0,2+,3+
408,1+,0,1
409,0,0,0
410,0,0,0
411,0,2+,2
412,1+,1,2
413,0,0,0
414,0,2+,3+
415,1+,0,1
416,0,0,0
417,0,1,1
418,0,0,0
419,1+,0,1
420,0,0,0
421,1+,0,1
422,0,2+,3+
423,1+,0,1
424,0,0,0
425,0,0,0
426,0,1,1
427,0,0,0
428,0,0,0
429,0,1,1
430,0,0,0
431,0,0,0
432,1+,0,1
433,0,2+,3+
434,0,1,1
435,0,0,0
436,0,2+,2
437,1+,0,1
