egoid,init_ser_cat,init_cas_cat,init_pers_cat
1,0,2,3
2,0,2,2
3,0,0,0
4,0,0,0
5,1,0,1
6,0,0,0
7,0,1,1
8,0,0,0
9,1,0,1
10,1,1,2
11,1,2,3
12,0,1,1
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,1,1
20,0,0,0
21,0,0,0
22,0,0,0
23,1,0,1
24,1,0,1
25,1,0,1
26,0,2,2
27,1,0,1
28,0,1,1
29,0,0,0
30,0,1,1
31,0,0,0
32,1,0,1
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,1,1
39,0,0,0
40,0,1,1
41,0,0,0
42,0,0,0
43,0,0,0
44,1,0,1
45,0,1,1
46,0,1,1
47,0,0,0
48,1,0,1
49,0,0,0
50,1,1,2
51,0,0,0
52,0,0,0
53,0,1,1
54,0,0,0
55,1,0,1
56,0,0,0
57,1,0,1
58,0,2,2
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,1,0,1
66,0,1,1
67,1,0,1
68,0,0,0
69,0,0,0
70,1,1,2
71,0,2,3
72,0,2,2
73,0,0,0
74,0,0,0
75,0,1,1
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,2,3
81,0,2,3
82,1,0,1
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,1,1
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,2,3
93,0,1,1
94,0,2,2
95,1,0,1
96,0,0,0
97,0,0,0
98,1,0,1
99,0,2,3
100,0,1,1
101,1,0,1
102,1,1,2
103,1,2,3
104,1,0,1
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,1,0,1
112,0,0,0
113,0,0,0
114,0,0,0
115,1,0,1
116,0,1,1
117,0,0,0
118,1,0,1
119,0,0,0
120,1,0,1
121,1,0,1
122,0,1,1
123,0,2,2
124,0,2,3
125,0,0,0
126,0,1,1
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,1,1
134,0,2,2
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,1,0,1
140,0,0,0
141,0,1,1
142,0,0,0
143,0,0,0
144,0,0,0
145,0,1,1
146,0,0,0
147,0,1,1
148,0,0,0
149,1,1,2
150,0,1,1
151,0,0,0
152,1,2,3
153,0,0,0
154,1,0,1
155,0,2,3
156,0,0,0
157,0,0,0
158,1,0,1
159,1,0,1
160,0,0,0
161,1,1,2
162,0,0,0
163,1,0,1
164,1,0,1
165,1,0,1
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,2,3
171,1,2,3
172,1,0,1
173,0,0,0
174,1,0,1
175,0,0,0
176,0,2,2
177,0,0,0
178,1,0,1
179,0,0,0
180,0,0,0
181,0,0,0
182,1,0,1
183,1,0,1
184,0,2,2
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,1,0,1
191,0,0,0
192,1,0,1
193,0,0,0
194,1,0,1
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,2,2
200,0,2,3
201,0,1,1
202,0,0,0
203,0,0,0
204,1,0,1
205,1,0,1
206,1,0,1
207,1,1,2
208,0,0,0
209,1,1,2
210,1,0,1
211,0,0,0
212,0,0,0
213,1,1,2
214,0,2,3
215,1,0,1
216,0,0,0
217,1,1,2
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,1,0,1
226,0,0,0
227,0,0,0
228,1,0,1
229,0,2,3
230,0,0,0
231,1,0,1
232,0,0,0
233,0,0,0
234,0,2,3
235,1,1,2
236,1,0,1
237,0,0,0
238,0,0,0
239,0,0,0
240,0,1,1
241,1,0,1
242,0,0,0
243,1,0,1
244,0,0,0
245,0,0,0
246,0,0,0
247,0,1,1
248,1,0,1
249,0,0,0
250,0,0,0
251,1,0,1
252,0,0,0
253,0,1,1
254,0,0,0
255,0,0,0
256,1,0,1
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,1,0,1
262,1,0,1
263,1,0,1
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,1,2,3
269,0,1,1
270,0,0,0
271,1,2,3
272,1,1,2
273,0,0,0
274,1,0,1
275,0,0,0
276,0,1,1
277,0,1,1
278,0,0,0
279,0,2,2
280,0,0,0
281,0,0,0
282,1,0,1
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,1,1
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,1,0,1
296,1,0,1
297,0,0,0
298,0,0,0
299,0,0,0
300,0,1,1
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,1,0,1
306,1,0,1
307,0,0,0
308,0,2,2
309,0,0,0
310,0,0,0
311,0,0,0
312,0,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,1,0,1
317,1,0,1
318,1,0,1
