numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc
1,s00001,whiteNH,under21,1,W/<20
2,s00002,whiteNH,under21,1,W/<20
3,s00003,whiteNH,under21,1,W/<20
4,s00004,whiteNH,under21,1,W/<20
5,s00005,whiteNH,under21,1,W/<20
6,s00006,whiteNH,under21,1,W/<20
7,s00007,whiteNH,under21,1,W/<20
8,s00008,whiteNH,under21,1,W/<20
9,s00009,whiteNH,under21,1,W/<20
10,s00010,whiteNH,under21,1,W/<20
11,s00011,whiteNH,under21,1,W/<20
12,s00012,whiteNH,under21,1,W/<20
13,s00013,whiteNH,under21,1,W/<20
14,s00014,whiteNH,under21,1,W/<20
15,s00015,whiteNH,under21,1,W/<20
16,s00016,whiteNH,under21,1,W/<20
17,s00017,whiteNH,under21,1,W/<20
18,s00018,whiteNH,under21,1,W/<20
19,s00019,whiteNH,under21,1,W/<20
20,s00020,whiteNH,under21,1,W/<20
21,s00021,whiteNH,under21,1,W/<20
22,s00022,whiteNH,under21,1,W/<20
23,s00023,whiteNH,under21,1,W/<20
24,s00024,whiteNH,under21,1,W/<20
25,s00025,whiteNH,under21,1,W/<20
26,s00026,whiteNH,under21,1,W/<20
27,s00027,whiteNH,under21,1,W/<20
28,s00028,whiteNH,under21,1,W/<20
29,s00029,whiteNH,under21,1,W/<20
30,s00030,whiteNH,under21,1,W/<20
31,s00031,whiteNH,under21,1,W/<20
32,s00032,whiteNH,under21,1,W/<20
33,s00033,whiteNH,under21,1,W/<20
34,s00034,whiteNH,under21,1,W/<20
35,s00035,whiteNH,under21,1,W/<20
36,s00036,whiteNH,under21,1,W/<20
37,s00037,whiteNH,under21,1,W/<20
38,s00038,whiteNH,under21,1,W/<20
39,s00039,whiteNH,under21,1,W/<20
40,s00040,whiteNH,under21,1,W/<20
41,s00041,whiteNH,under21,1,W/<20
42,s00042,whiteNH,under21,1,W/<20
43,s00043,whiteNH,under21,1,W/<20
44,s00044,whiteNH,under21,1,W/<20
45,s00045,whiteNH,under21,1,W/<20
46,s00046,whiteNH,under21,1,W/<20
47,s00047,whiteNH,under21,1,W/<20
48,s00048,whiteNH,under21,1,W/<20
49,s00049,whiteNH,under21,1,W/<20
50,s00050,whiteNH,under21,1,W/<20
51,s00051,whiteNH,under21,1,W/<20
52,s00052,whiteNH,under21,1,W/<20
53,s00053,whiteNH,under21,1,W/<20
54,s00054,whiteNH,under21,1,W/<20
55,s00055,whiteNH,under21,1,W/<20
56,s00056,whiteNH,under21,1,W/<20
