egoid,venues_all,venues_dating,venues_nondating
1,v0197|v0245|v0262|v0975,v0197|v0245|v0975,v0262
2,v0262,s00002,v0262
3,v0998,v0998,s00003
4,v0636|v1045,s00004,v0636|v1045
5,v0388|v0665,s00005,v0388|v0665
6,v0195|v0647,s00006,v0195|v0647
7,v0468|v0975,v0975,v0468
8,v0050|v0097|v0563,s00008,v0050|v0097|v0563
9,v0389|v0390|v0665|v1140,s00009,v0389|v0390|v0665|v1140
10,v0413|v1213,s00010,v0413|v1213
11,v0097|v0828,s00011,v0097|v0828
12,v0262,s00012,v0262
13,s00013,s00013,s00013
14,v0390|v0499,s00014,v0390|v0499
15,v0197|v0262|v0974|v1085,v0197|v0974|v1085,v0262
16,v0391,s00016,v0391
17,v0388,s00017,v0388
18,v1091,s00018,v1091
19,v0262,s00019,v0262
20,v0068|v0259|v0346|v0665,s00020,v0068|v0259|v0346|v0665
21,v0050|v0391,s00021,v0050|v0391
22,v0824|v0994,v0824|v0994,s00022
23,s00023,s00023,s00023
24,v0266|v0389|v0651|v1141,s00024,v0266|v0389|v0651|v1141
25,v0540|v0665|v0687,s00025,v0540|v0665|v0687
26,v0027|v1074,s00026,v0027|v1074
27,v0087|v0194,s00027,v0087|v0194
28,s00028,s00028,s00028
29,v0087|v0194|v1074,s00029,v0087|v0194|v1074
30,v0982|v0998,v0998,v0982
31,v0843|v1141,v0843,v1141
32,v0550|v0599,v0550,v0599
33,v1075|v1079,s00033,v1075|v1079
34,v0389|v0390|v0665,s00034,v0389|v0390|v0665
35,s00035,s00035,s00035
36,v0180|v0268,s00036,v0180|v0268
37,s00037,s00037,s00037
38,v0390,s00038,v0390
39,v0336|v0603|v0724|v0960,s00039,v0336|v0603|v0724|v0960
40,v0104|v0245,v0104|v0245,s00040
41,v0911,s00041,v0911
42,v0390,s00042,v0390
43,v0050|v0087|v0665|v0793|v0863,s00043,v0050|v0087|v0665|v0793|v0863
44,v0109|v0262|v1141,s00044,v0109|v0262|v1141
45,v0197|v0262|v0974,v0197|v0974,v0262
46,s00046,s00046,s00046
47,v0440|v0665|v0831,s00047,v0440|v0665|v0831
48,v0793|v0808|v0825,v0825,v0793|v0808
49,v0665|v0687,s00049,v0665|v0687
50,v0262|v0389|v0999,s00050,v0262|v0389|v0999
51,v0262,s00051,v0262
52,v0974|v0975,v0974|v0975,s00052
53,s00053,s00053,s00053
54,v0946,s00054,v0946
55,v0533|v0540,s00055,v0533|v0540
56,v0049,s00056,v0049
57,v0065|v0388,s00057,v0065|v0388
58,v0165,s00058,v0165
59,v0661|v1169,s00059,v0661|v1169
60,s00060,s00060,s00060
61,s00061,s00061,s00061
62,v0384|v0391,s00062,v0384|v0391
63,v0185,s00063,v0185
64,v0786|v0809|v0875|v0881,s00064,v0786|v0809|v0875|v0881
65,v0087|v0104|v0355|v0636,v0104,v0087|v0355|v0636
66,v0665,s00066,v0665
67,v0390,s00067,v0390
68,v0251|v0384,s00068,v0251|v0384
69,v0388,s00069,v0388
70,v0050|v0087|v0665|v0737|v0797,s00070,v0050|v0087|v0665|v0737|v0797
71,v0687,s00071,v0687
72,v0087|v0109|v0975|v1181,v0975,v0087|v0109|v1181
73,v0221|v0270|v0358|v0397|v0665,s00073,v0221|v0270|v0358|v0397|v0665
74,v0266|v0992,v0992,v0266
75,v0096|v0109|v1189,v0096,v0109|v1189
76,v0114|v0745|v0875|v1066,s00076,v0114|v0745|v0875|v1066
77,v0050|v0087|v0102|v0645|v0793,s00077,v0050|v0087|v0102|v0645|v0793
78,v0048|v0050|v0087|v0507|v0793|v1007,s00078,v0048|v0050|v0087|v0507|v0793|v1007
79,v0982,s00079,v0982
80,v0050,s00080,v0050
81,v1213,s00081,v1213
82,v0251,s00082,v0251
83,s00083,s00083,s00083
84,v0135|v1091,s00084,v0135|v1091
85,v0087|v0221|v0540|v0745|v1110|v1216,s00085,v0087|v0221|v0540|v0745|v1110|v1216
86,v0843|v1141,v0843,v1141
87,v0736|v0960,s00087,v0736|v0960
88,v0671|v0959|v0960,s00088,v0671|v0959|v0960
89,v0224|v1169,s00089,v0224|v1169
90,v0391,s00090,v0391
91,v0390,s00091,v0390
92,v0262|v0266|v0358,s00092,v0262|v0266|v0358
93,v0707|v0711,s00093,v0707|v0711
94,v0251,s00094,v0251
95,v0221|v0270|v0397,s00095,v0221|v0270|v0397
96,v0050|v0974,v0974,v0050
