egoid,venues_all
1,v0197|v0262|v0974|v0975|v1085
2,v0793|v0808|v0824|v0825|v0974|v0975|v0992|v0993|v0994|v0998|v1010|v1013|v1074|v1189
3,v0087|v0251|v0252|v0996
4,v0389|v0390|v0407|v0499
5,v0050|v0052|v0275|v0391|v0793|v1110
6,v0197|v0358|v0520|v0606|v0974|v0992
7,v0604|v0786|v0974|v0998
8,v0903|v0956|v0960
9,v0050|v0097|v0304|v0468|v0496|v0563|v0579
10,v0243|v0538|v0911|v0995|v1155
11,v0068|v0070|v0259|v0665|v1203
12,v0262|v0513|v0828
13,v0274|v0389|v0390
14,v0266|v0992|v1011
15,v0018|v0391|v0413|v0423|v0842
16,v0336|v0603|v0665|v0724|v0912|v0960|v1115
17,v0221|v0270|v0358|v0397|v0520|v0665
18,v0389|v0665
19,v0262|v0513|v0828
20,v0087|v0104|v0524|v0630|v0636|v0641
21,v0389|v0390|v0407|v0499
22,v0221|v0599|v0667
23,v0050|v0052|v0275|v0391|v0793|v1110
24,v0176|v0183|v0185|v0704
25,v0265|v0358|v0393|v0520|v0665
26,v0135|v0195|v1091
27,v0109|v0319|v0599|v0665|v1177|v1181|v1219|v1229
28,v0998|v1208
29,v1034|v1039
30,v0267|v0665|v0687|v0944|v1119
31,v0197|v0358|v0520|v0606|v0974|v0992
32,v0049
33,v0274|v0389|v0391|v0665|v1127
34,v0049|v0056|v0058|v0109|v0667|v0855|v0881|v0999|v1153
35,v0048|v0050|v0087|v0665|v0793|v0797|v0969|v1007
36,v0087|v0194|v0970|v0998|v1074
37,v0661|v0707|v0711|v0888|v0895|v0960
38,v0998|v1208
39,v0107|v0598|v0665|v0974|v0992
40,v0164|v0960|v1021|v1100
41,v0109|v0390|v0430|v0576|v0733|v0737
42,v0274|v0389|v0391|v0665|v1127
43,v0087|v0104|v0524|v0630|v0636|v0641
44,v0087|v0221|v0622|v0745|v1110|v1216
45,v0251|v0891|v1068
46,v0604|v0786|v0974|v0998
47,v0050|v0109|v0389|v0417|v0974
