,mean_main,lower_main,upper_main,mean_casual,lower_casual,upper_casual,mean_onetime,lower_onetime,upper_onetime
edges,1390.34593,1163.171276,1617.520584,1973.609915,1578.912409,2368.307427,77.34089491,60.14710923,94.53468082
concurrent,28.07303186,6.690102844,117.1106081,729.916014,504.1104555,1047.329744,,,
nodefactor.race_ethnicity.blackNH,728.7761917,576.6867393,880.8656469,969.8622952,740.6059058,1199.118682,26.9194823,18.81921061,35.019754
nodefactor.race_ethnicity.hispanic,901.3043698,667.6755702,1134.933173,1105.121301,761.2138711,1449.028734,45.61899472,27.53452183,63.70346774
nodefactor.race_ethnicity.otherNH,178.4821429,0,375.4556766,614.696429,143.7722783,1085.620578,15.26868749,2.708542213,27.82883281
nodefactor.race_ethnicity.whiteNH,974.1329401,675.6450718,1272.620812,1254.535013,770.8061732,1738.263852,67.05165708,41.73970203,92.36361213
nodefactor.age.21to29,2236.148318,1813.738048,2658.558589,2754.551541,2046.522921,3462.580169,98.64561262,67.28679,130.0044356
nodefactor.age.16to20,548.2414594,378.4181313,718.0647875,1190.302103,838.6794719,1541.924734,55.77472622,41.53602289,70.01342966
nodematch.race_ethnicity,783.8606862,454.0565868,1188.607962,933.7690088,513.0977781,1470.651537,40.21604229,18.79672977,72.86169372
nodematch.race_ethnicity.blackNH,303.4455489,210.0273927,397.4417118,362.5799422,241.3972415,494.1802431,9.405328752,5.327691217,14.0920046
nodematch.race_ethnicity.hispanic,205.3879671,109.851637,333.9286477,207.110588,99.04735548,366.1613669,9.911024791,4.378590765,17.79530215
nodematch.race_ethnicity.otherNH,5.13E-09,0,2.22E-08,2.39E-09,2.38E-10,9.88E-09,2.672999995,0.102690382,10.84805413
nodematch.race_ethnicity.whiteNH,275.0271702,134.1775571,457.2376021,364.0784786,172.6531811,610.3099269,18.22668875,8.987757405,30.12633284
nodematch.age,1022.595734,690.8229777,1385.807344,1429.126085,921.0068397,1994.537899,56.71390842,32.99146247,82.54497794
nodematch.age.21to29,861.0860726,607.9786746,1125.382873,1169.724738,783.9209026,1569.450076,43.56837734,25.84863379,61.44753432
nodematch.age.16to20,161.5096612,82.84430313,260.424471,259.401347,137.0859371,425.0878233,13.14553108,7.142828676,21.09744362
nodefactor.init_cas_cat.0,2624.392598,2194.669305,3054.115882,,,,,,
nodefactor.init_cas_cat.1,158.5048682,59.7417101,257.2680284,,,,,,
nodefactor.init_cas_cat.2,9.299087278,0,27.86072585,,,,,,
nodefactor.init_ser_cat.0,,,,3763.417722,3003.043628,4523.791815,,,
nodefactor.init_ser_cat.1,,,,180.0636103,70.4792312,289.6479895,,,
nodefactor.init_pers_cat.0,,,,,,,78.26224228,57.19131192,99.33317239
nodefactor.init_pers_cat.1,,,,,,,48.10014966,26.88109744,69.31920171
nodefactor.init_pers_cat.2,,,,,,,16.58211399,3.490081517,29.67414647
nodefactor.init_pers_cat.3,,,,,,,11.66346404,1.590799897,21.73612817
fuzzynodematch.venues_all.TRUE,209.9421104,114.6269886,363.0058151,285.3968616,150.4329181,505.5199663,12.85219839,5.963934673,25.06698537
fuzzynodematch.venues_dating.TRUE,35.20524128,12.49043443,94.68398075,134.2670212,58.32357809,374.3902039,10.00626924,3.609354946,26.02306801
fuzzynodematch.venues_nondating.TRUE,174.7368691,89.51555609,321.2501796,151.1298384,61.00155564,346.0348949,2.845929152,1.037269198,7.258677384
fuzzynodematch.apps_all.TRUE,778.5885447,503.9324773,1145.570059,1073.804193,700.9416847,1552.357453,50.69877273,32.43125171,72.8893682
fuzzynodematch.apps_dating.TRUE,579.071593,390.4990571,812.0232453,928.4017033,621.8190651,1298.797323,49.45760451,32.01361977,69.42467026
fuzzynodematch.apps_nondating.TRUE,199.5169518,113.4334202,333.5468137,145.4024895,79.12261968,253.56013,1.241168228,0.417631934,3.464697943
