,numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc,age,empirical_egos_list,assigned_empego_for_venues,assigned_empego,venue_list,init_ser_cat,init_cas_cat,init_pers_cat,any_serious,assigned_empego_rel,appslist_rel,assigned_empego_norel,appslist_norel,appslist
305,22,s00022,whiteNH,16to20,1,W/<20,20.03287671232877,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e366,e366,v0221|v0599|v0667,0,0,0,0,e366,a05|a14,e377,a05,a05
485,34,s00034,whiteNH,16to20,1,W/<20,19.254794520547943,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e109,e109,v0049|v0056|v0058|v0109|v0667|v0855|v0881|v0999|v1153,0,0,0,0,e109,s00034,e090,s00034,s00034
44,46,s00046,whiteNH,16to20,1,W/<20,19.09315068493151,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e546,e546,v0604|v0786|v0974|v0998,0,1,1,0,e546,a05,e377,a05,a05
273,82,s00082,whiteNH,16to20,1,W/<20,20.48493150684932,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e263,e263,v0109|v0319|v0599|v0665|v1177|v1181|v1219|v1229,1+,0,1,1,e366,a05|a14,e263,s00082,a05|a14
101,102,s00102,whiteNH,16to20,1,W/<20,20.64383561643836,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e377,e377,v0243|v0538|v0911|v0995|v1155,1+,1,2,1,e080,a05|a14,e377,a05,a05|a14
296,113,s00113,whiteNH,16to20,1,W/<20,19.257534246575343,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e065,e065,v0043|v0264|v0648|v0961|v0974|v0997,0,0,0,0,e065,a05|a14|a22,e336,a05|a14|a41,a05|a14|a41
338,129,s00129,whiteNH,16to20,1,W/<20,19.53972602739726,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e617,e617,v0974|v1009|v1030,0,0,0,0,e617,a05|a14,e077,a07|a08|a14,a07|a08|a14
449,132,s00132,whiteNH,16to20,1,W/<20,18.876712328767123,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e173,e173,v0087|v0194|v0970|v0998|v1074,0,0,0,0,e173,a05,e350,a05|a14,a05|a14
173,142,s00142,whiteNH,16to20,1,W/<20,20.284931506849315,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e366,e366,v0221|v0599|v0667,0,0,0,0,e366,a05|a14,e257,a05,a05
120,149,s00149,whiteNH,16to20,1,W/<20,20.704109589041096,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e410,e410,v0274|v0340|v0764|v0868|v0917|v0998|v1127,1+,1,2,1,e406,a05|a14,e410,a05,a05|a14
